"date","loessfit","loess.min","loess.max"
2014-11-27,40.8993613172481,51.4758400819104,30.3228825525859
2014-11-28,40.9974358171704,51.6277175444597,30.3671540898811
2014-11-29,41.0966359994405,51.7874437045384,30.4058282943426
2014-11-30,41.1967738591934,51.9538186896653,30.4397290287214
2014-12-01,41.297661391564,52.1255226296548,30.4698001534731
2014-12-02,41.3991105916872,52.3011341431886,30.4970870401858
2014-12-03,41.5009334546981,52.4791489389097,30.5227179704864
2014-12-04,41.6029419757314,52.6579980303411,30.5478859211218
2014-12-05,41.7049481499223,52.8360651875659,30.5738311122787
2014-12-06,41.8067639724056,53.0117033778986,30.6018245669126
2014-12-07,41.9082014383162,53.1832500725846,30.6331528040478
2014-12-08,42.0090725427892,53.3490414101437,30.6691036754347
2014-12-09,42.1091892809594,53.5074253059796,30.7109532559392
